fid,FUNCION_PRINCIPAL,SUBCATEGORIA,ESTABLECIMIENTO,FUNCION_SECUNDARIA,PROGRAMACION,SUCURSAL,SALA,CALLE,ALTURA,BARRIO,COMUNA,DIRECCION,LONGITUD,LATITUD,TELEFONO,MAIL,WEB,,FACEBOOK,TWITTER,INSTAGRAM,CAMARA_1,CAMARA_2,REDES,PUNTO_DE_CULTURA,OTRAS_REDES,CANTIDAD_SALAS,CAPACIDAD_TOTAL,TAG
107,BAR,CULTURAL,CENTRO CULTURAL TORQUATO TASSO,,,,,DEFENSA,1575,SAN TELMO,COMUNA 1,"DEFENSA 1575, CABA",-58.371064,-34.626157,4307-6506,INFO@TORQUATOTASSO.COM.AR,WWW.TORQUATOTASSO.COM.AR,,https://www.facebook.com/TorquatoTasso/,,https://www.instagram.com/musicaeneltasso/,,,,,,,220,
108,BAR,MILONGA Y/O TANGUERIA,CIRCULO SOCIAL MARIANO ACOSTA,,,,,ACOSTA. MARIANO AV.,13,VELEZ SARSFIELD,COMUNA 10,"ACOSTA, MARIANO AV. 13, CABA",-58.482199,-34.634155,4582-7440,,,,,,,,,,,,,0,
109,BAR,MILONGA Y/O TANGUERIA,CIRCULO TROVADOR,,,,,DEL LIBERTADOR AV.,1031,RECOLETA,COMUNA 2,"DEL LIBERTADOR AV. 1031, CABA",-58.386336,-34.58638,4838-0546 / 0472,,,,,,,,,,,,,0,
110,BAR,NOTABLE,CLARIDGE BAR,,,,,TUCUMAN,535,SAN NICOLAS,COMUNA 1,"TUCUMAN 535, CABA",-58.374517,-34.600965,4314-7700 / INTERNO 335,INFORESERVAS@CLARIDGE.COM.AR,https://www.claridge.com.ar/,,,,,,,,,,,0,
111,BAR,CULTURAL,CLARO,,,,,LOPE DE VEGA AV.,1400,VILLA LURO,COMUNA 10,"LOPE DE VEGA AV. 1400, CABA",-58.50827,-34.626932,,,,,,,,,,,,,,0,
112,BAR,MILONGA Y/O TANGUERIA,CLUB CRISOL UNIDOS - MILONGA SARAZA TANGO,,,,,SARAZA,951,PARQUE CHACABUCO,COMUNA 7,"SARAZA 951, CABA",-58.431299,-34.637963,4925-5830,,,,,,,,,,,,,0,
113,BAR,MILONGA Y/O TANGUERIA,CLUB EXPERIMENTAL DE TANGO ARTE,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,857,MONSERRAT,COMUNA 1,"REPUBLICA BOLIVARIANA DE VENEZUELA 857, CABA",-58.378394,-34.614024,,,,,,,,,,,,,,0,
114,BAR,MILONGA Y/O TANGUERIA,CLUB FULGOR,,,,,LOYOLA,828,VILLA CRESPO,COMUNA 15,"LOYOLA 828, CABA",-58.438128,-34.593253,,INFO@MILONGA10.COM,WWW.PRAKTIKA8.MILONGA10.COM,,,,,,,,,,,0,
115,BAR,MILONGA Y/O TANGUERIA,CLUB GENERAL BELGRANO,,,,,COCHABAMBA,444,SAN TELMO,COMUNA 1,"COCHABAMBA 444, CABA",-58.371869,-34.623114,4957-7157,,WWW.CLUBGRICEL.COM,,,,,,,,,,,0,
116,BAR,NOTABLE,CLUB GLORIAS ARGENTINAS,,,,,ANDALGALA,1982,MATADEROS,COMUNA 9,"ANDALGALA 1982, CABA",-58.510313,-34.659301,4687-8576,NESTORJORGEMIRANDA@YAHOO.COM.AR,HTTP://WWW.CLUBGLORIASARGENTINAS.COM/ACTIVIDADES.PHP?XIDSECCION=9,,https://www.facebook.com/BardelGlorias1982/?rf=325224420868239,@bar.del.glorias,,,,,,,,0,
117,BAR,MILONGA Y/O TANGUERIA,CLUB GRICEL,,,,,LA RIOJA,1180,SAN CRISTOBAL,COMUNA 3,"LA RIOJA 1180, CABA",-58.407085,-34.623947,4957-7157,,,,https://www.facebook.com/pages/Club-Gricel/444673908984294,,,,,,,,,200,
118,BAR,MILONGA Y/O TANGUERIA,CLUB PEDRO ECHAGÜE,,,,,PORTELA,836,FLORES,COMUNA 7,"PORTELA 836, CABA",-58.468613,-34.641855,4637-0843,SECRETARIA@ICDPEDROECHAGUE.COM.AR,WWW.ICDPEDROECHAGUE.COM.AR/ACTIVIDAD.ASPX?IDACT=14,,,,,,,,,,,0,
119,BAR,MILONGA Y/O TANGUERIA,CLUB PIAMONTES,,,,,RODRIGUEZ. MANUEL A.. GENERAL,1205,CABALLITO,COMUNA 6,"RODRIGUEZ, MANUEL A., GENERAL 1205, CABA",-58.448413,-34.607548,4581-5189,,,,,,,,,,,,,0,
120,BAR,MILONGA Y/O TANGUERIA,CLUB SIN RUMBO,,,,,TAMBORINI. JOSE PASCUAL,6157,VILLA URQUIZA,COMUNA 12,"TAMBORINI, JOSE PASCUAL 6157, CABA",-58.503764,-34.57253,4523-7214,ELSITADESINRUMBO@YAHOO.COM.AR,HTTP://SINRUMBOTANGO.COM.AR/TANGO/,,,,,,,,,,,0,
121,BAR,MILONGA Y/O TANGUERIA,CLUB SUNDERLAND,,,,,LUGONES,3161,VILLA URQUIZA,COMUNA 12,"LUGONES 3161, CABA",-58.484998,-34.564929,4541-9776,,WWW.SUNDERLANDCLUB.COM.AR,,,,,,,,,,,0,
122,BAR,CULTURAL,COLISEO SPORTS & FUN,,,,,FITZ ROY,2021,PALERMO,COMUNA 14,"FITZ ROY 2021, CABA",-58.433193,-34.581495,4775-4834,INFO@COLISEOBAR.COM.AR,WWW.COLISEOBAR.COM.AR,,,,,,,,,,,0,
123,BAR,CULTURAL,COMPAÑIA GASTRONOMICA SUDAMERICANA / THE IRISH HOUSE,,,,,SAN MARTIN,979,RETIRO,COMUNA 1,"SAN MARTIN 979, CABA",-58.374277,-34.596549,,,,,,,,,,,,,,0,
124,BAR,MILONGA Y/O TANGUERIA,COMPLEJO TANGO,,,,,BELGRANO AV.,2608,BALVANERA,COMUNA 3,"BELGRANO AV. 2608, CABA",-58.403145,-34.61462,,,WWW.COMPLEJOTANGO.COM.AR,,,,,,,,,,,0,
125,BAR,NOTABLE,CONFITERIA DEL HOTEL CASTELAR,,,,,DE MAYO AV.,1048,MONSERRAT,COMUNA 1,"DE MAYO AV. 1048, CABA",-58.381284,-34.609046,4383-5000 / 9,INFO@CASTELARHOTEL.COM.AR,WWW.CASTELARHOTEL.COM.AR,,,,@castelarhotelspa,,,,,,,0,
126,BAR,NOTABLE,CONFITERIA IDEAL,,,,,SUIPACHA,384,SAN NICOLAS,COMUNA 1,"SUIPACHA 384, CABA",-58.37949,-34.603924,5265-8069 / 4328-7750,LACONFITERIAIDEAL@GMAIL.COM,WWW.CONFITERIAIDEAL.COM,,https://www.facebook.com/Confiter%C3%ADa-Ideal-114137994827/,,,,,,,,,0,
127,BAR,CULTURAL,CONFITERIA LA UNION,,,,,BELGRANO AV.,1,MONSERRAT,COMUNA 1,"BELGRANO AV. 1, CABA",-58.367158,-34.612161,,,,,,,,,,,,,,0,
128,BAR,NOTABLE,CONFITERIA SAINT MORITZ,,,,,ESMERALDA,894,RETIRO,COMUNA 1,"ESMERALDA 894, CABA",-58.3784,-34.597786,4311-7311,,,,https://www.facebook.com/saintmoritzconfiteria/,,,,,,,,,0,
129,BAR,MILONGA Y/O TANGUERIA,CULB VILLA MALCOLM,,,,,CORDOBA AV.,5064,VILLA CRESPO,COMUNA 15,"CORDOBA AV. 5064, CABA",-58.435062,-34.5911,4772-9796,,,,,,,,,,,,,0,
130,BAR,MILONGA Y/O TANGUERIA,CULTURA TANGUERA,,,,,RIVADAVIA AV.,1392,MONSERRAT,COMUNA 1,"RIVADAVIA AV. 1392, CABA",-58.386058,-34.608797,4381-4049 / 4383-5426,AIRESTANGUEROS@HOTMAIL.COM,WWW.AIRESTANGUEROS.COM,,,,,,,,,,,0,
131,BAR,CULTURAL,DE LOS CORRALES,,,,,DE LOS CORRALES AV.,6799,MATADEROS,COMUNA 9,"DE LOS CORRALES AV. 6799, CABA",-58.502581,-34.664351,,,,,,,,,,,,,,0,
132,BAR,NOTABLE,DON JUAN,,,,,CAMARONES,2702,VILLA SANTA RITA,COMUNA 11,"CAMARONES 2702, CABA",-58.478216,-34.611192,4586-0679,,,,,,,,,,,,,0,
133,BAR,MILONGA Y/O TANGUERIA,EL BESO,,,,,RIOBAMBA,416,BALVANERA,COMUNA 3,"RIOBAMBA 416, CABA",-58.393932,-34.604253,4953-2794,,,,,,,,,,,,,0,
134,BAR,CULTURAL,EL BODEGON DE VILLA LURO,,,,,RIVADAVIA AV.,9800,VILLA LURO,COMUNA 10,"RIVADAVIA AV. 9800, CABA",-58.501915,-34.637882,,,,,,,,,,,,,,0,
135,BAR,CULTURAL,EL BOLICHE DE ROBERTO,,,,,BULNES,331,ALMAGRO,COMUNA 5,"BULNES 331, CABA",-58.418597,-34.607009,6327-4594 / 4862-0415,INFO@BARDEROBERTO.COM.AR,,,,,,,,,,,,0,
136,BAR,NOTABLE,EL BUZON,,,,,ESQUIU,1393,NUEVA POMPEYA,COMUNA 4,"ESQUIU 1393, CABA",-58.423403,-34.65116,4918-4358,,,,https://www.facebook.com/elBarNotableElBuzon/,,,,,,,,,0,
137,BAR,NOTABLE,EL COLECCIONISTA,,,,,RIVADAVIA AV.,4929,CABALLITO,COMUNA 6,"RIVADAVIA AV. 4929, CABA",-58.434687,-34.617422,4902-7954,,,,,,,,,,,,,0,
138,BAR,NOTABLE,EL COLONIAL,,,,,BELGRANO AV.,599,MONSERRAT,COMUNA 1,"BELGRANO AV. 599, CABA",-58.374516,-34.612552,4331-9030,,,,https://www.facebook.com/Restaurant-Bar-El-Colonial-339362213178284/,,,,,,,,,0,
139,BAR,CULTURAL,EL ENCUENTRO,,,,,DE LA TORRE. LISANDRO AV.,2381,MATADEROS,COMUNA 9,"DE LA TORRE, LISANDRO AV. 2381, CABA",-58.500579,-34.662307,,,,,,,,,,,,,,0,
140,BAR,NOTABLE,EL FARO,,,,,DE LOS CONSTITUYENTES AV.,4099,PARQUE CHAS,COMUNA 15,"DE LOS CONSTITUYENTES AV. 4099, CABA",-58.488592,-34.584925,4573-3055,INFO@ELFAROCAFEBAR.COM.AR,WWW.ELFAROCAFEBAR.COM.AR,,https://www.facebook.com/El-Faro-Villa-Urquiza-895045040565092/,,@elfarodevillaurquiza,,,,,,,0,
141,BAR,CULTURAL,EL GARFIO,,,,,DIRECTORIO AV.,3699,FLORESTA,COMUNA 10,"DIRECTORIO AV. 3699, CABA",-58.47604,-34.6388,,,,,,,,,,,,,,0,
142,BAR,NOTABLE,EL GATO NEGRO / DON VITORIANO,,,,,CORRIENTES AV.,1669,SAN NICOLAS,COMUNA 1,"CORRIENTES AV. 1669, CABA",-58.390307,-34.604209,4374 1730,INFO@DONVICTORIANO.COM.AR,https://tienda.donvictoriano.com.ar/,,https://www.facebook.com/El-Gato-Negro-271115800065/?fref=ts,,@elgatonegrocafe,,,,,,,0,
143,BAR,CULTURAL,EL IMAGINARIO CULTURAL,CLUB DE MUSICA,,,,BULNES,899,ALMAGRO,COMUNA 5,"BULNES 899, CABA",-58.417762,-34.601069,,IMAGINARIOCULTURALEVENTOS@GMAIL.COM,,,https://www.facebook.com/imaginarioculturalbar/,,www.instagram.com/imaginariocultural/,,,,,,,0,
144,BAR,MILONGA Y/O TANGUERIA,EL MALEVAJE,,,,,GARIBALDI,1670,BOCA,COMUNA 4,"GARIBALDI 1670, CABA",-58.362638,-34.641247,4303-8333,PROGRAMACION@ELMALEVAJE.COM,WWW.ELMALEVAJE.COM,,,,,,,,,,,0,
145,BAR,CULTURAL,EL MOTIVO,,,,,CARRIL. SALVADOR MARIA DEL AV.,2400,AGRONOMIA,COMUNA 15,"CARRIL, SALVADOR MARIA DEL AV. 2400, CABA",-58.492352,-34.587146,,,,,,,,,,,,,,0,
146,BAR,MILONGA Y/O TANGUERIA,EL PIAL,,,,,FALCON. RAMON L..CNEL.,2750,FLORES,COMUNA 7,"FALCON, RAMON L.,CNEL. 2750, CABA",-58.467067,-34.631602,4612-4257,INFOELPIAL@YAHOO.COM.AR,WWW.ELPIAL.ORG.AR,,,,,,,,,,,0,
147,BAR,NOTABLE,EL PREFERIDO DE PALERMO,,,,,BORGES. JORGE LUIS,2108,PALERMO,COMUNA 14,"BORGES, JORGE LUIS 2108, CABA",-58.4253,-34.585456,4774-6585,INFO@ELPREFERIDODEPALERMO.COM,https://elpreferido.meitre.com/,,https://www.facebook.com/preferidodepalermo/,,@elpreferidodepalermo,,,,,,,0,
148,BAR,NOTABLE,EL PROGRESO,,,,,"MONTES DE OCA, MANUEL AV.",1700,BARRACAS,COMUNA 4,"MONTES DE OCA, MANUEL AV. 1700, CABA",-58.372916,-34.646536,4301-0671,ELPROGRESO@BARELPROGRESO.COM.AR,WWW.BARELPROGRESO.COM.AR,,https://www.facebook.com/bar.elprogreso/,,@barelprogreso,,,,,,,0,
149,BAR,NOTABLE,EL QUERANDI,,,,,PERU,302,MONSERRAT,COMUNA 1,"PERU 302, CABA",-58.374749,-34.611647,5199-1770,RESERVAS@ELQUERANDI.COM.AR,HTTP://WWW.QUERANDI.COM.AR/,,,,,,,,,,,0,
150,BAR,NOTABLE,EL SIMBOLO,,,,,CORRIENTES AV.,3787,ALMAGRO,COMUNA 5,"CORRIENTES AV. 3787, CABA",-58.417844,-34.603404,4863-5302,,,,https://www.facebook.com/ElSimboloCafeBar/,,@elsimbolocafebar,,,,,,,0,
151,BAR,NOTABLE,EL TOKIO,,,,,ALVAREZ JONTE AV.,3550,VILLA SANTA RITA,COMUNA 11,"ALVAREZ JONTE AV. 3550, CABA",-58.491572,-34.612407,4568-4999,,,,,,@bareltokio,,,,,,,0,
152,BAR,MILONGA Y/O TANGUERIA,EL VIEJO ALMACEN,,,,,INDEPENDENCIA AV.,303,SAN TELMO,COMUNA 1,"INDEPENDENCIA AV. 303, CABA",-58.370136,-34.617086,4307-6689,,WWW.ELVIEJOALMACEN.COM.AR,,,,,,,,,,,0,
153,BAR,NOTABLE,EL VIEJO BUZON,,,,,NEUQUEN,1100,CABALLITO,COMUNA 6,"NEUQUEN 1100, CABA",-58.448852,-34.615898,4433-3061,,,,https://www.facebook.com/EL-VIEJO-BUZON-Caf%C3%A9-Pub-52882937101/,,,,,,,,,0,
154,BAR,CULTURAL,ESPACIO DADA,ESPACIO ESCENICO,,,,BORGES. JORGE LUIS,1655,PALERMO,COMUNA 14,"BORGES, JORGE LUIS 1655, CABA",-58.429778,-34.588586,,SGILMIRANDA@HOTMAIL.COM,WWW.ESPACIODADA.BLOGSPOT.COM.AR,,WWW.FACEBOOK.COM/ESPACIODADA/,,,,,,,,2,105,
155,BAR,CULTURAL,ESQUINA ALBERDI,,,,,ALBERDI. JUAN BAUTISTA AV.,1907,FLORES,COMUNA 7,"ALBERDI, JUAN BAUTISTA AV. 1907, CABA",-58.455731,-34.629335,,,,,,,,,,,,,,0,
156,BAR,MILONGA Y/O TANGUERIA,ESQUINA CARLOS GARDEL,,,,,GARDEL. CARLOS,3200,BALVANERA,COMUNA 3,"GARDEL, CARLOS 3200, CABA",-58.409966,-34.603329,4867-6363,,WWW.ESQUINACARLOSGARDEL.COM.AR,,,,,,,,,,,0,
157,BAR,NOTABLE,ESQUINA HOMERO MANZI,,,,,SAN JUAN AV.,3601,BOEDO,COMUNA 5,"SAN JUAN AV. 3601, CABA",-58.416337,-34.625385,4957-8488,INFO@ESQUINAHOMEROMANZI.COM.AR,WWW.ESQUINAHOMEROMANZI.COM.AR,,https://www.facebook.com/esquinahomeromanzifanpage,,@esquinahomeromanzi,,,,,,,0,
158,BAR,CULTURAL,ESQUINA JONTE,,,,,ALVAREZ JONTE AV.,5799,MONTE CASTRO,COMUNA 10,"ALVAREZ JONTE AV. 5799, CABA",-58.516273,-34.628302,,,,,,,,,,,,,,0,
159,BAR,MILONGA Y/O TANGUERIA,ESQUINA OSVALDO PUGLIESE,,,,,BOEDO AV.,909,BOEDO,COMUNA 5,"BOEDO AV. 909, CABA",-58.416294,-34.624266,4931-2142,,,,,,,,,,,,,0,
160,BAR,CULTURAL,FIVE,ESPACIO ESCENICO,,,,BEIRO. FRANCISCO AV.,3095,AGRONOMIA,COMUNA 15,"BEIRO, FRANCISCO AV. 3095, CABA",-58.496795,-34.596504,,,,,WWW.FACEBOOK.COM/BAR5FIVE/,,,,,,,,,0,
161,BAR,CULTURAL,FLORIDA,,,,,BOEDO AV.,944,BOEDO,COMUNA 5,"BOEDO AV. 944, CABA",-58.416057,-34.624792,,,,,,,,,,,,,,0,
162,BAR,NOTABLE,FLORIDA GARDEN,,,,,FLORIDA,899,RETIRO,COMUNA 1,"FLORIDA 899, CABA",-58.375352,-34.597613,4312-7902,FLORIDAGARDEN@ARGENTINA.COM,,,https://www.facebook.com/pages/Florida-Garden/108111885940914,,@floridagarden_oficial,,,,,,,0,
163,BAR,MILONGA Y/O TANGUERIA,GALA TANGO,,,,,5 DE JULIO,434,MONSERRAT,COMUNA 1,"5 DE JULIO 434, CABA",-58.371166,-34.612766,4334-0777,,WWW.GALATANGO.COM,,,,,,,,,,,0,
164,BAR,CULTURAL,GUARDA LA VIEJA,,,,,BILLINGHURST,699,ALMAGRO,COMUNA 5,"BILLINGHURST 699, CABA",-58.415286,-34.601924,,,,,,,,,,,,,,0,
165,BAR,NOTABLE,HIPOPOTAMO,,,,,BRASIL,401,SAN TELMO,COMUNA 1,"BRASIL 401, CABA",-58.371288,-34.625331,4300-8450,ELNOTABLEHIPOPOTAMO@CIUDAD.COM.AR,,,https://www.facebook.com/pages/El-Hipopotamo/157364554316825,,,,,,,,,0,
166,BAR,CULTURAL,HOLM BAR,,,,,HOLMBERG,2637,VILLA URQUIZA,COMUNA 12,"HOLMBERG 2637, CABA",-58.4783,-34.567666,,,,,,,,,,,,,,0,
167,BAR,NOTABLE,HOTEL SAVOY / BAR IMPERIO,,,,,CALLAO AV.,181,SAN NICOLAS,COMUNA 1,"CALLAO AV. 181, CABA",-58.392003,-34.607022,43708000,INFO@SAVOYHOTEL.COM.AR,https://www.savoyhotel.com.ar/,,https://www.facebook.com/SavoyHotelbsas/?_ga=2.56490542.467678513.1576520692-1352744244.1576520692,,@savoyenc,,,,,,,0,
168,BAR,NOTABLE,IBERIA,,,,,DE MAYO AV.,1196,MONSERRAT,COMUNA 1,"DE MAYO AV. 1196, CABA",-58.383303,-34.609258,4381-6300,,,,,,,,,,,,,0,
169,BAR,CULTURAL,IL BALLO DEL MATTONE,,,,,GORRITI,5737,PALERMO,COMUNA 14,"GORRITI 5737, CABA",-58.438622,-34.583849,4776-4247,ILBALLODELMATTONE@GMAIL.COM,WWW.ILBALLODELMATTONE.COM,,,,,,,,,,,0,
170,BAR,MILONGA Y/O TANGUERIA,IMAGEN TANGO,,,,,BALBIN. RICARDO. DR. AV.,4699,SAAVEDRA,COMUNA 12,"BALBIN, RICARDO, DR. AV. 4699, CABA",-58.497273,-34.553507,,,,,,,,,,,,,,0,
171,BAR,CULTURAL,L AVERNO,,,,,CORRIENTES AV.,1632,SAN NICOLAS,COMUNA 1,"CORRIENTES AV. 1632, CABA",-58.389868,-34.604337,43711278,INFO@LAVERNO.COM.AR,https://www.laverno.com.ar/,,https://www.facebook.com/laverno.restobar/,,,,,,,,,0,
172,BAR,NOTABLE,LA ACADEMIA,,,,,CALLAO AV.,368,BALVANERA,COMUNA 3,"CALLAO AV. 368, CABA",-58.392357,-34.604902,4372-2765,BAR_LAACADEMIA@HOTMAIL.COM,,,https://www.facebook.com/lacademia1930/,,,,,,,,,0,
173,BAR,MILONGA Y/O TANGUERIA,LA ACADEMIA DE TANGO DE SUSANA MILLER Y MARIA PLAZAOLA,,,,,RIOBAMBA,416,BALVANERA,COMUNA 3,"RIOBAMBA 416, CABA",-58.393932,-34.604253,3166-4800,CONTACTO@LAACADEMIATANGO.COM,WWW.LAACADEMIATANGO.COM,,,,,,,,,,,0,
174,BAR,NOTABLE,LA BIELA,,,,,QUINTANA. MANUEL. PRES. AV.,600,RECOLETA,COMUNA 2,"QUINTANA, MANUEL, PRES. AV. 600, CABA",-58.390761,-34.587834,4804-4135 / 4804-0449,INFO@LABIELA.COM.AR,WWW.LABIELA.COM,,https://www.facebook.com/La-Biela-409698429638390/?modal=admin_todo_tour,,@labielacafe,,,,,,,0,
175,BAR,NOTABLE,LA BUENA MEDIDA,,,,,SUAREZ,101,BOCA,COMUNA 4,"SUAREZ 101, CABA",-58.355061,-34.633746,4302-0038,,,,,,@barlabuenamedida,,,,,,,0,
176,BAR,MILONGA Y/O TANGUERIA,LA CASONA DE FERNANDO,,,,,CHILE AV.,318,SAN TELMO,COMUNA 1,"CHILE AV. 318, CABA",-58.370633,-34.615965,4300-7998,LACASONADEFERNANDO@GMAIL.COM,WWW.FACEBOOK.COM/PAGES/LA-CASONA-DE-FERNANDO-EN-SAN-TELMO/132222086855491,,,,,,,,,,,0,
177,BAR,MILONGA Y/O TANGUERIA,LA CATEDRAL,,SI,SARMIENTO,,SARMIENTO,4006,ALMAGRO,COMUNA 5,"SARMIENTO 4006, CABA",-58.421532,-34.60488,,CONTACTO@LACATEDRALCLUB.COM,WWW.LACATEDRALCLUB.COM,,https://www.facebook.com/lacateclub,,,,,,,,,0,
178,BAR,CULTURAL,LA CIGALE,,,,,25 DE MAYO,597,SAN NICOLAS,COMUNA 1,"25 DE MAYO 597, CABA",-58.371226,-34.600875,4893-2332,BARLACIGALE@YAHOO.COM.AR,HTTP://LACIGALEBAR.BLOGSPOT.COM.AR,,,,,,,,,,,0,
179,BAR,CULTURAL,LA CORUÑA,,,,,BOLIVAR,982,SAN TELMO,COMUNA 1,"BOLIVAR 982, CABA",-58.372926,-34.619266,4362-7637,,,,,,,,,,,,,0,
180,BAR,MILONGA Y/O TANGUERIA,LA CUMPARCITA TANGO BAR,,,,,CHILE AV.,302,SAN TELMO,COMUNA 1,"CHILE AV. 302, CABA",-58.37039,-34.615932,4361-6880,,WWW.LACUMPARSITATANGO.COM.AR,,,,,,,,,,,0,
181,BAR,NOTABLE,LA EMBAJADA,,,,,SANTIAGO DEL ESTERO,88,MONSERRAT,COMUNA 1,"SANTIAGO DEL ESTERO 88, CABA",-58.384794,-34.609608,4381-1520 / 4382-8127,,,,,,,,,,,,,0,
182,BAR,CULTURAL,LA ESCUELA,,,,,PEDRAZA. MANUELA,2803,NUÑEZ,COMUNA 13,"PEDRAZA, MANUELA 2803, CABA",-58.469955,-34.553649,,,,,,,,,,,,,,0,
183,BAR,MILONGA Y/O TANGUERIA,LA ESCUELA DEL TANGO,,,,,SAN JOSE,364,MONSERRAT,COMUNA 1,"SAN JOSE 364, CABA",-58.386078,-34.61303,4383-0466,ESCUELADELTANGO@GMAIL.COM,HTTP://ESCUELADELTANGO.BLOGSPOT.COM.AR/,,,,,,,,,,,0,
184,BAR,NOTABLE,LA ESQUINA DE ANIBAL TROILO,,,,,PARAGUAY,1500,RECOLETA,COMUNA 2,"PARAGUAY 1500, CABA",-58.388093,-34.598398,,,,,,,,,,,,,,0,
185,BAR,CULTURAL,LA ESTACION,,,,,BAHIA BLANCA,100,FLORESTA,COMUNA 10,"BAHIA BLANCA 100, CABA",-58.480787,-34.632503,,,,,,,,,,,,,,0,
186,BAR,NOTABLE,LA FARMACIA,,,,,DIRECTORIO AV.,2400,FLORES,COMUNA 7,"DIRECTORIO AV. 2400, CABA",-58.460605,-34.633541,4631-3481,,,,,,,,,,,,,0,
187,BAR,NOTABLE,LA FLOR DE BARRACAS,,,,,SUAREZ AV.,2095,BARRACAS,COMUNA 4,"SUAREZ AV. 2095, CABA",-58.379497,-34.641822,4302-7924,,,,,,,,,,,,,0,
188,BAR,CULTURAL,LA GENTILEZA,,,,,LACROZE. FEDERICO AV.,3800,CHACARITA,COMUNA 15,"LACROZE, FEDERICO AV. 3800, CABA",-58.452622,-34.58329,,,,,,,,,,,,,,0,
189,BAR,NOTABLE,LA GIRALDA,,,,,CORRIENTES AV.,1453,SAN NICOLAS,COMUNA 1,"CORRIENTES AV. 1453, CABA",-58.387286,-34.604052,4371-3846,,,,,,,,,,,,,0,
190,BAR,MILONGA Y/O TANGUERIA,LA INDEPENDENCIA,,,,,INDEPENDENCIA AV.,572,SAN TELMO,COMUNA 1,"INDEPENDENCIA AV. 572, CABA",-58.37402,-34.61731,4931-7977,,WWW.MILONGALAINDEPENDENCIA.BLOGSPOT.COM.AR,,,,,,,,,,,0,
191,BAR,CULTURAL,LA KERMESSE,,,,,ANCHORENA. TOMAS MANUEL DE. DR.,1347,RECOLETA,COMUNA 2,"ANCHORENA, TOMAS MANUEL DE, DR. 1347, CABA",-58.405703,-34.593914,2056-4337,INFO@LAKERMESSETEATROBAR.COM.AR,,,WWW.FACEBOOK.COM/LAKERMESSETEATROBAR,,,,,,,,,0,
192,BAR,CULTURAL,LA LAGUNA,,,,,PERON. EVA AV.,,PARQUE AVELLANEDA,COMUNA 9,"PERON, EVA AV., CABA, CABA",-58.4687546,-34.64838,,,,,,,,,,,,,,0,
193,BAR,MILONGA Y/O TANGUERIA,LA MILONGUITA,,,J. NEWBERY,,NEWBERY. JORGE,2818,COLEGIALES,COMUNA 13,"NEWBERY, JORGE 2818, CABA",-58.444209,-34.575744,4771-8827,MILONGUITABAILE@GMAIL.COM,WWW.MILONGUITABAILE.COM.AR,,,,,,,,,,,0,
194,BAR,MILONGA Y/O TANGUERIA,LA NACIONAL,,,,,ALSINA. ADOLFO,1465,MONSERRAT,COMUNA 1,"ALSINA, ADOLFO 1465, CABA",-58.386877,-34.611099,,,WWW.LANACIONALTANGO.COM,,,,,,,,,,,0,
195,BAR,NOTABLE,LA NUEVA ANDALUZA,,,,,CAMARONES,1412,VILLA GRAL. MITRE,COMUNA 11,"CAMARONES 1412, CABA",-58.462342,-34.603716,4581-2289,,,,,,,,,,,,,0,
196,BAR,CULTURAL,LA OPERA,,,,,CORRIENTES AV.,1799,SAN NICOLAS,COMUNA 1,"CORRIENTES AV. 1799, CABA",-58.392047,-34.604335,,,,,,,,,,,,,,0,
197,BAR,CULTURAL,LA ORQUIDEA,,,,,CORRIENTES AV.,4101,ALMAGRO,COMUNA 5,"CORRIENTES AV. 4101, CABA",-58.42267,-34.602917,,,,,,,,,,,,,,0,
198,BAR,CULTURAL,LA PAILA RESTAURANT,,,,,COSTA RICA,4848,PALERMO,COMUNA 14,"COSTA RICA 4848, CABA",-58.428748,-34.587075,4878-2688 / 4833-3599,LAPAILA@FOLKLORECLUB.COM.AR,http://lapaila-restaurante.com.ar/,,https://www.facebook.com/LaPailaAsociacionFolklorica/,,https://www.instagram.com/la.paila.asociacion/,CLUMVI,,,,,,0,
199,BAR,NOTABLE,LA PERLA,,,,,DON PEDRO DE MENDOZA AV.,1899,BOCA,COMUNA 4,"DON PEDRO DE MENDOZA AV. 1899, CABA",-58.361731,-34.639338,4302-2524,,,,https://www.facebook.com/laperlacaminito,,,,,,,,,0,
200,BAR,CULTURAL,LA PERLA BAR,,,,,JUJUY AV.,36,BALVANERA,COMUNA 3,"JUJUY AV. 36, CABA",-58.405842,-34.610396,5218-7747,INFO@LAPERLABAR.COM.AR,WWW.LAPERLABAR.COM.AR,,,,,,,,,,,0,
201,BAR,NOTABLE,LA POESIA,,,,,CHILE,502,SAN TELMO,COMUNA 1,"CHILE 502, CABA",-58.373267,-34.616062,4300-7340,,,,,,,,,,,,,0,
202,BAR,CULTURAL,LA POPULAR,,,,,PERON. EVA AV.,4246,PARQUE AVELLANEDA,COMUNA 9,"PERON, EVA AV. 4246, CABA",-58.472459,-34.652216,,,,,,,,,,,,,,0,
203,BAR,NOTABLE,LA PUERTO RICO,,,,,"ALSINA, ADOLFO",420,MONSERRAT,COMUNA 1,"ALSINA, ADOLFO 420, CABA",-58.372381,-34.610196,4331-2215 / 4331-4178,CONTACTO@LAPUERTORICOCAFE.COM.AR,WWW.LAPUERTORICOCAFE.COM.AR,,,,,,,,,,,0,
